iter	Passed	Remaining
0	64	64394
1	67	33621
2	70	23308
3	74	18445
4	76	15260
5	79	13125
6	81	11608
7	84	10472
8	88	9799
9	92	9115
10	94	8523
11	97	8035
12	100	7607
13	104	7357
14	107	7040
15	109	6753
16	112	6509
17	115	6297
18	119	6185
19	122	6005
20	125	5829
21	127	5671
22	130	5528
23	135	5514
24	139	5424
25	141	5301
26	144	5196
27	146	5093
28	151	5066
29	155	5022
30	192	6030
31	199	6023
32	203	5963
33	208	5910
34	213	5888
35	217	5836
36	224	5842
37	241	6117
38	247	6088
39	251	6039
40	256	5993
41	262	5982
42	266	5938
43	271	5896
44	276	5859
45	280	5821
46	285	5783
47	318	6313
48	324	6295
49	329	6253
50	336	6262
51	342	6235
52	350	6258
53	359	6290
54	363	6245
55	367	6189
56	375	6206
57	378	6145
58	382	6096
59	387	6069
60	390	6016
61	394	5971
62	398	5924
63	403	5898
64	407	5865
65	412	5832
66	417	5808
67	421	5778
68	425	5746
69	430	5716
70	435	5695
71	439	5665
72	443	5636
73	448	5608
74	452	5586
75	455	5540
76	459	5503
77	461	5459
78	464	5415
79	467	5371
80	470	5334
81	473	5297
82	475	5257
83	478	5217
84	480	5176
85	483	5135
86	486	5109
87	489	5074
88	492	5038
89	494	5004
90	497	4970
91	502	4958
92	505	4926
93	507	4894
94	510	4864
95	514	4845
96	518	4826
97	523	4816
98	526	4788
99	528	4760
100	531	4732
101	535	4715
102	538	4687
103	541	4661
104	543	4636
105	546	4611
106	551	4602
107	554	4579
108	557	4553
109	559	4528
110	562	4505
111	567	4497
112	570	4474
113	572	4452
114	575	4430
115	578	4408
116	582	4396
117	589	4404
118	592	4383
119	595	4365
120	598	4346
121	600	4324
122	603	4304
123	606	4284
124	609	4263
125	613	4253
126	615	4234
127	618	4214
128	621	4194
129	623	4175
130	627	4161
131	630	4143
132	632	4124
133	635	4105
134	638	4088
135	640	4071
136	645	4064
137	648	4049
138	651	4032
139	653	4014
140	656	3997
141	660	3992
142	663	3976
143	666	3960
144	668	3944
145	671	3929
146	675	3922
147	678	3906
148	681	3891
149	684	3876
150	686	3861
151	690	3851
152	693	3840
153	696	3825
154	698	3810
155	701	3795
156	706	3795
157	710	3784
158	713	3772
159	716	3759
160	718	3745
161	723	3742
162	726	3728
163	728	3713
164	731	3699
165	733	3686
166	737	3679
167	740	3669
168	743	3655
169	746	3642
170	748	3630
171	752	3623
172	755	3612
173	758	3599
174	760	3587
175	764	3576
176	768	3571
177	773	3572
178	778	3570
179	781	3562
180	787	3562
181	791	3556
182	797	3560
183	802	3559
184	805	3550
185	809	3540
186	812	3530
187	816	3525
188	819	3515
189	822	3505
190	825	3495
191	828	3485
192	832	3481
193	835	3472
194	838	3462
195	841	3453
196	844	3443
197	849	3441
198	853	3433
199	856	3424
200	859	3415
201	862	3407
202	865	3399
203	868	3389
204	871	3380
205	874	3371
206	878	3365
207	881	3357
208	885	3351
209	888	3343
210	930	3480
211	936	3479
212	941	3477
213	951	3494
214	955	3489
215	961	3490
216	970	3500
217	978	3508
218	983	3506
219	988	3504
220	995	3507
221	1000	3505
222	1022	3561
223	1029	3567
224	1034	3563
225	1039	3558
226	1045	3559
227	1049	3555
228	1054	3549
229	1088	3643
230	1096	3648
231	1100	3643
232	1108	3648
233	1129	3698
234	1135	3697
235	1151	3726
236	1165	3753
237	1180	3778
238	1184	3772
239	1230	3896
240	1235	3892
241	1240	3886
242	1247	3885
243	1255	3888
244	1264	3895
245	1267	3884
246	1270	3874
247	1278	3875
248	1281	3866
249	1284	3852
250	1287	3841
251	1294	3842
252	1297	3830
253	1300	3819
254	1303	3808
255	1308	3801
256	1314	3799
257	1317	3789
258	1346	3852
259	1374	3911
260	1381	3912
261	1398	3939
262	1423	3987
263	1471	4102
264	1484	4117
265	1502	4145
266	1507	4139
267	1513	4132
268	1540	4187
269	1548	4186
270	1554	4181
271	1559	4174
272	1566	4171
273	1572	4166
274	1582	4172
275	1587	4164
276	1592	4157
277	1598	4152
278	1603	4144
279	1607	4133
280	1611	4122
281	1615	4112
282	1618	4101
283	1623	4091
284	1629	4088
285	1635	4083
286	1640	4074
287	1645	4066
288	1651	4062
289	1655	4053
290	1663	4052
291	1666	4041
292	1670	4031
293	1679	4033
294	1684	4026
295	1692	4026
296	1700	4024
297	1703	4012
298	1714	4019
299	1718	4010
300	1727	4011
301	1732	4005
302	1736	3995
303	1789	4095
304	1828	4165
305	1832	4155
306	1840	4155
307	1845	4146
308	1850	4137
309	1859	4138
310	1889	4185
311	1893	4175
312	1898	4166
313	1904	4159
314	1908	4150
315	1912	4140
316	1958	4220
317	1969	4223
318	1974	4215
319	1981	4210
320	1988	4206
321	1993	4197
322	2027	4249
323	2034	4245
324	2040	4237
325	2073	4287
326	2078	4278
327	2086	4275
328	2088	4260
329	2093	4250
330	2099	4244
331	2104	4235
332	2120	4247
333	2163	4314
334	2167	4301
335	2170	4289
336	2173	4276
337	2179	4269
338	2183	4258
339	2188	4249
340	2194	4240
341	2197	4228
342	2201	4217
343	2204	4204
344	2207	4191
345	2211	4180
346	2214	4166
347	2216	4153
348	2219	4140
349	2222	4127
350	2225	4115
351	2228	4103
352	2231	4089
353	2234	4076
354	2236	4063
355	2239	4050
356	2243	4040
357	2245	4027
358	2248	4014
359	2251	4002
360	2253	3989
361	2257	3979
362	2260	3967
363	2263	3955
364	2266	3943
365	2269	3932
366	2273	3922
367	2276	3910
368	2280	3900
369	2284	3889
370	2287	3877
371	2290	3866
372	2293	3855
373	2296	3844
374	2300	3833
375	2304	3824
376	2307	3813
377	2310	3802
378	2313	3790
379	2316	3780
380	2321	3770
381	2324	3759
382	2326	3748
383	2329	3736
384	2332	3725
385	2336	3716
386	2339	3705
387	2341	3693
388	2344	3682
389	2347	3671
390	2351	3661
391	2353	3651
392	2356	3639
393	2359	3629
394	2362	3618
395	2366	3608
396	2369	3598
397	2371	3587
398	2374	3576
399	2377	3566
400	2380	3555
401	2384	3546
402	2386	3535
403	2389	3525
404	2392	3514
405	2395	3504
406	2398	3494
407	2401	3484
408	2404	3473
409	2406	3463
410	2409	3452
411	2412	3442
412	2416	3434
413	2419	3424
414	2422	3414
415	2424	3404
416	2427	3393
417	2431	3385
418	2433	3374
419	2436	3364
420	2439	3354
421	2441	3344
422	2445	3335
423	2448	3325
424	2451	3316
425	2453	3306
426	2456	3296
427	2459	3286
428	2463	3278
429	2466	3269
430	2469	3260
431	2473	3252
432	2477	3243
433	2481	3236
434	2486	3229
435	2489	3220
436	2494	3213
437	2500	3208
438	2504	3200
439	2509	3193
440	2513	3186
441	2517	3177
442	2519	3168
443	2524	3161
444	2529	3154
445	2532	3145
446	2535	3136
447	2537	3127
448	2543	3120
449	2547	3113
450	2549	3103
